書名,書籍網址,作者,出版社,ISBN,圖片網址
PHP、MySQL與JavaScript學習手冊 (第5版),https://www.eslite.com/product/1001133102731171,Robin Nixon,美商歐萊禮股份有限公司台灣分公司,9789864769711,https://s.eslite.dev/Upload/Product/201812/l/636797683748532500.jpg
精通PHP&MySQL網頁開發 (第5版),https://www.eslite.com/product/1001113692588448,Luke Welling/ Laura Thomson,碁峰資訊股份有限公司,9789864763429,https://s.eslite.dev/Upload/Product/201705/l/636293418210766250.jpg
PHP學習手冊,https://www.eslite.com/product/1001133102560467,David Sklar,美商歐萊禮股份有限公司台灣分公司,9789864762606,https://s.eslite.dev/upload/product/l/2681406489002/631926.jpg
"PHP, MySQL, JavaScript與CSS學習手冊 (第2版)",https://www.eslite.com/product/1001133102203120,Robin Nixon,美商歐萊禮股份有限公司台灣分公司,9789862766576,https://s.eslite.dev/upload/product/l/2680746960004/211539.jpg
PHP與MySQL應用實務 (第2版),https://www.eslite.com/product/1001133101824052,"Williams, Hugh E./ Lane, David",美商歐萊禮股份有限公司台灣分公司,9789867794680,0
PHP網頁程式設計超入門,https://www.eslite.com/product/1001113882732378,松浦健一郎/ 司ゆき,旗標科技股份有限公司,9789863125730,https://s.eslite.dev/Upload/Product/201812/l/636802867856353750.jpg
PHP網路服務 (第2版),https://www.eslite.com/product/1001133102548565,Lorna Jane Mitchell,美商歐萊禮股份有限公司台灣分公司,9789864761760,https://s.eslite.dev/Upload/Product/201610/l/636131638819916250.jpg
PHP & MySQL: The Missing Manual 國際中文版,https://www.eslite.com/product/1001133102154110,Brett McLaughlin,美商歐萊禮股份有限公司台灣分公司,9789862764978,https://s.eslite.dev/upload/product/l/2680697896001/165406.jpg
Excel+PHP Web資料庫開發應用實務 (附CD),https://www.eslite.com/product/1001120321977896,Nishizawa Naoki,博碩文化股份有限公司,9789862013793,https://s.eslite.dev/Upload/Product/201009/l/634201367278793750.jpg
PHP程式設計 (第4版),https://www.eslite.com/product/1001133102682030835005,Kevin Tatroe/ Peter MacIntyre,美商歐萊禮股份有限公司台灣分公司,9789865026592,https://s.eslite.dev/upload/product/l/2682030835005/20210611034710111713.jpg
PHP (10月/2020),https://www.eslite.com/product/1002146632681926829005,,PHP研究所,,https://s.eslite.dev/upload/product/l/2681926829005/20200930035731328273.jpg
PHP動態網站系統開發與Laravel框架運用,https://www.eslite.com/product/1001120322864755,歐瑭軒/ 姜林毅/ 蔡燕如/ 林芝吟/ 洪國鈞/ 陳朝鈞,博碩文化股份有限公司,9789864345090,https://s.eslite.dev/Upload/Product/202008/l/637334227054928750.jpg
PHP (9月/2020),https://www.eslite.com/product/10099146632876102,,PHP研究所,,https://s.eslite.dev/upload/product/l/2681923878006/20200922055255523045.jpg
PHPなつみちゃんTote Bag/ Pink,https://www.eslite.com/product/1005146632854206,吉竹伸介,PHP研究所,,https://s.eslite.dev/upload/product/2681892878007/l/637351833491397500.jpg
PHP Masking Tape/ りゆうがあります,https://www.eslite.com/product/1005146632854208,吉竹伸介,PHP研究所,,https://s.eslite.dev/Upload/Product/202008/l/637338549926951250.jpg
PHP Masking Tape/ ふまんがあります,https://www.eslite.com/product/1005146632854306,吉竹伸介,PHP研究所,,https://s.eslite.dev/Upload/Product/202008/l/637338549941013750.jpg
PHP Masking Tape/ なつみちゃん,https://www.eslite.com/product/1005146632854354,吉竹伸介,PHP研究所,,https://s.eslite.dev/Upload/Product/202008/l/637338549957888750.jpg
PHPなつみちゃんTote Bag/ 青,https://www.eslite.com/product/1005146632854205,吉竹伸介,PHP研究所,,https://s.eslite.dev/Upload/Product/202008/l/637329400308282500.jpg
PHPなつみちゃんTote Bag/ 黄緑,https://www.eslite.com/product/1005146632854207,吉竹伸介,PHP研究所,,https://s.eslite.dev/Upload/Product/202009/l/637351834113272500.jpg
PHP Fusen Memo/ ふまんがあります,https://www.eslite.com/product/1005146632854355,吉竹伸介,PHP研究所,,https://s.eslite.dev/Upload/Product/202008/l/637338549967732500.jpg
PHP、MySQL與JavaScript學習手冊 (第5版),https://www.eslite.com/product/1001133102731171,Robin Nixon,美商歐萊禮股份有限公司台灣分公司,9789864769711,https://s.eslite.dev/Upload/Product/201812/l/636797683748532500.jpg
精通PHP&MySQL網頁開發 (第5版),https://www.eslite.com/product/1001113692588448,Luke Welling/ Laura Thomson,碁峰資訊股份有限公司,9789864763429,https://s.eslite.dev/Upload/Product/201705/l/636293418210766250.jpg
PHP學習手冊,https://www.eslite.com/product/1001133102560467,David Sklar,美商歐萊禮股份有限公司台灣分公司,9789864762606,https://s.eslite.dev/upload/product/l/2681406489002/631926.jpg
"PHP, MySQL, JavaScript與CSS學習手冊 (第2版)",https://www.eslite.com/product/1001133102203120,Robin Nixon,美商歐萊禮股份有限公司台灣分公司,9789862766576,https://s.eslite.dev/upload/product/l/2680746960004/211539.jpg
PHP與MySQL應用實務 (第2版),https://www.eslite.com/product/1001133101824052,"Williams, Hugh E./ Lane, David",美商歐萊禮股份有限公司台灣分公司,9789867794680,0
PHP網頁程式設計超入門,https://www.eslite.com/product/1001113882732378,松浦健一郎/ 司ゆき,旗標科技股份有限公司,9789863125730,https://s.eslite.dev/Upload/Product/201812/l/636802867856353750.jpg
PHP網路服務 (第2版),https://www.eslite.com/product/1001133102548565,Lorna Jane Mitchell,美商歐萊禮股份有限公司台灣分公司,9789864761760,https://s.eslite.dev/Upload/Product/201610/l/636131638819916250.jpg
PHP & MySQL: The Missing Manual 國際中文版,https://www.eslite.com/product/1001133102154110,Brett McLaughlin,美商歐萊禮股份有限公司台灣分公司,9789862764978,https://s.eslite.dev/upload/product/l/2680697896001/165406.jpg
Excel+PHP Web資料庫開發應用實務 (附CD),https://www.eslite.com/product/1001120321977896,Nishizawa Naoki,博碩文化股份有限公司,9789862013793,https://s.eslite.dev/Upload/Product/201009/l/634201367278793750.jpg
PHP程式設計 (第4版),https://www.eslite.com/product/1001133102682030835005,Kevin Tatroe/ Peter MacIntyre,美商歐萊禮股份有限公司台灣分公司,9789865026592,https://s.eslite.dev/upload/product/l/2682030835005/20210611034710111713.jpg
PHP (10月/2020),https://www.eslite.com/product/1002146632681926829005,,PHP研究所,,https://s.eslite.dev/upload/product/l/2681926829005/20200930035731328273.jpg
PHP動態網站系統開發與Laravel框架運用,https://www.eslite.com/product/1001120322864755,歐瑭軒/ 姜林毅/ 蔡燕如/ 林芝吟/ 洪國鈞/ 陳朝鈞,博碩文化股份有限公司,9789864345090,https://s.eslite.dev/Upload/Product/202008/l/637334227054928750.jpg
PHP (9月/2020),https://www.eslite.com/product/10099146632876102,,PHP研究所,,https://s.eslite.dev/upload/product/l/2681923878006/20200922055255523045.jpg
PHPなつみちゃんTote Bag/ Pink,https://www.eslite.com/product/1005146632854206,吉竹伸介,PHP研究所,,https://s.eslite.dev/upload/product/2681892878007/l/637351833491397500.jpg
