書名,書籍網址,作者,出版社,ISBN,圖片網址
Album Of The Soundtrack Of The Trailer Of The Film Of Monty Python And The Holy Grail (Picture Disc),https://www.eslite.com/product/1004123082875006,Monty Python (蒙提蟒蛇劇團),環球國際唱片股份有限公司,0602508601316,https://s.eslite.dev/upload/product/l/2681922460004/20200916154840316013.jpg
"Monty Python's Total Rubbish: The Complete Collection (9LP+7"" Vinyl)",https://www.eslite.com/product/1004305972396411,Monty Python,"UMG Recordings, Inc.",0602537846863,https://s.eslite.dev/Upload/Product/201502/l/635603911701582500.jpg
Monty Python Sings,https://www.eslite.com/product/1004128571081642,Monty Python (Monty Python's Flying Circus),金牌大風音樂文化股份有限公司,0077778625322,0
用Python學程式設計運算思維,https://www.eslite.com/product/1001113692690584,李啟龍,碁峰資訊股份有限公司,9789864768288,https://s.eslite.dev/Upload/Product/201806/l/636659446780522399.jpg
Python資料可視化攻略,https://www.eslite.com/product/1001113692682019007003,小久保奈都彌,碁峰資訊股份有限公司,9789865028039,https://s.eslite.dev/upload/product/l/2682019007003/20210518040142652499.jpg
Python機器學習 下 (第3版),https://www.eslite.com/product/1001120322877376,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864345199,https://s.eslite.dev/upload/product/l/2681925686005/20200925042352342181.jpg
Python機器學習 上 (第3版),https://www.eslite.com/product/1001120322872894,Sebastian Raschka/ Vahid Mirjalili,博碩文化股份有限公司,9789864345182,https://s.eslite.dev/upload/product/l/2681918866001/20200904035716921803.jpg
Python自動化的樂趣: 搞定重複瑣碎&單調無聊的工作 (第2版),https://www.eslite.com/product/1001113692869108,Al Sweigart,碁峰資訊股份有限公司,9789865025977,https://s.eslite.dev/Upload/Product/202008/l/637344595771632500.jpg
架構模式: 使用Python,https://www.eslite.com/product/1001133102866550,Harry Percival/ Bob Gregory,美商歐萊禮股份有限公司台灣分公司,9789865025960,https://s.eslite.dev/Upload/Product/202008/l/637335093667897500.jpg
Python非同步設計: 使用Asyncio,https://www.eslite.com/product/1001133102866300,Caleb Hattingh,美商歐萊禮股份有限公司台灣分公司,9789865025915,https://s.eslite.dev/Upload/Product/202008/l/637334227530553750.jpg
Python X Network一拍即合: 自動化、程式化和DevOps的一站式解決方案,https://www.eslite.com/product/1001120322861199,Eric Chou (周君逸),博碩文化股份有限公司,9789864345021,https://s.eslite.dev/upload/product/l/2681902599007/20200724033250898882.jpg
東京大學資料科學家養成全書: 使用Python動手學習資料分析,https://www.eslite.com/product/1001130572848077,塚本邦尊/ 山田典一/ 大澤文孝; 中山浩太郎/ 監修; 松尾豐/ 協力,臉譜出版社,9789862358320,https://s.eslite.dev/Upload/Product/202006/l/637276338276039064.jpg
經典電腦科學問題解析: 使用Python,https://www.eslite.com/product/1001113692849792,David Kopec,碁峰資訊股份有限公司,9789865024574,https://s.eslite.dev/Upload/Product/202006/l/637273750445242500.jpg
精通Python: 運用簡單的套件進行現代運算 (第2版),https://www.eslite.com/product/1001133102849194,Bill Lubanovic,美商歐萊禮股份有限公司台灣分公司,9789865024864,https://s.eslite.dev/Upload/Product/202006/l/637268828489247500.jpg
Python程式設計的樂趣: 範例實作與專題研究的20堂程式設計課 (第2版),https://www.eslite.com/product/1001113692841825,Eric Matthes,碁峰資訊股份有限公司,9789865024567,https://s.eslite.dev/Upload/Product/202004/l/637238327795500000.jpg
文科生也能懂的Python程式設計: 用Python寫出高中數學解題程式,https://www.eslite.com/product/1001113692841831,谷尻かおり,碁峰資訊股份有限公司,9789865024734,https://s.eslite.dev/Upload/Product/202004/l/637238327829250000.jpg
非監督式學習: 使用Python,https://www.eslite.com/product/1001133102834096,Ankur A. Patel,美商歐萊禮股份有限公司台灣分公司,9789865024062,https://s.eslite.dev/Upload/Product/202003/l/637207223976352500.jpg
最新Python程式設計實例入門,https://www.eslite.com/product/1001120322817097,高橋麻奈,博碩文化股份有限公司,9789864344628,https://s.eslite.dev/Upload/Product/202002/l/637183890165022500.jpg
增壓的Python: 讓程式碼進化到全新境界,https://www.eslite.com/product/1001113692822515,Brian Overland/ John Bennett,碁峰資訊股份有限公司,9789865024055,https://s.eslite.dev/Upload/Product/202001/l/637152790111340000.jpg
Python程式學習進階,https://www.eslite.com/product/1003237202810645,亞德里安．B．泰克,和平國際文化有限公司,9789863711933,https://s.eslite.dev/Upload/Product/201912/l/637109598862468288.jpg
Album Of The Soundtrack Of The Trailer Of The Film Of Monty Python And The Holy Grail (Picture Disc),https://www.eslite.com/product/1004123082875006,Monty Python (蒙提蟒蛇劇團),環球國際唱片股份有限公司,0602508601316,https://s.eslite.dev/upload/product/l/2681922460004/20200916154840316013.jpg
"Monty Python's Total Rubbish: The Complete Collection (9LP+7"" Vinyl)",https://www.eslite.com/product/1004305972396411,Monty Python,"UMG Recordings, Inc.",0602537846863,https://s.eslite.dev/Upload/Product/201502/l/635603911701582500.jpg
